firm_name,website_url,organic_traffic,organic_traffic_rank,keywords_top10,keywords_top10_rank,domain_rating,domain_rating_rank,referring_domains,referring_domains_rank,mobile_speed,desktop_speed,google_rating,total_reviews,one_star_last_3_months,keyword1_name,keyword1_traffic,keyword1_rank,keyword2_name,keyword2_traffic,keyword2_rank,keyword3_name,keyword3_traffic,keyword3_rank,keyword4_name,keyword4_traffic,keyword4_rank,keyword5_name,keyword5_traffic,keyword5_rank,review1_text,review1_date,review1_reviewer,review2_text,review2_date,review2_reviewer,review3_text,review3_date,review3_reviewer
Allen Law Group,kenallenlaw.com,2262,41,327,38,48,8,1755,5,65,99,4.8,230,0,allen law group,472,1,ken allen law,312,1,kenneth allen law group,256,1,kenneth j allen law group,256,1,kenneth allen law,208,1,,,,,,,,,
Andrew Pickett Law,andrewpickettlaw.com,4421,29,764,21,37,22,360,51,31,59,5,395,0,andrew pickett law,168,1,melbourne florida usa,118,2,contingency basis lawyer,116,1,melbourne usa,94,1,florida car seat laws,86,6,,,,,,,,,
Angel Reyes & Associates,reyeslaw.com,8056,18,1070,16,42,17,1229,10,71,90,4.6,4238,46,angel reyes,1040,1,angel reyes and associates,472,1,reyes browne law,472,1,reyes browne law firm,384,1,angel reyes & associates,384,1,Called and texted him on Monday about a question. Texted again on Tuesday and Wednesday and I haven't heard back. Desperate situation.,2025-07-31T19:22:45.688Z,Mike,Worst customer service. Be careful they will call you and try to talk you to give them a good review. Trust me they are trash. U might as well deal with insurance yourself,2025-07-31T15:41:55.284Z,Deborah Thompson,"I woukd give 0 stars if I could. This firm did absolutely nothing but dump my case onto another law firm after almost 6 months of wasting my time and not doing anything towards getting me a settlement offer. Especially since my accident was caught on video surveillance and it was what the state trooper used to determine the other driver was 100% at fault. I not only lost my car, i lost my job, my place to live, everything. And they did not care. At 51, i became homeless and jobless all bc of an accident that was not my fault. These law firm has questionable ethics and i even question their integrity. They didnt not even bother to let me or my insurance company know that they had dumped my case onto another attorney. I didnt find out until the other attorney called me letting me know thew were representing me now. Highly unethical behavior",2025-07-29T16:43:30.382Z,Linda Nelson
Bellas and Wachowski,bellas-wachowski.com,2207,43,373,33,23,58,423,40,67,97,4.8,105,0,is crypto and bitcoin the same,79,1,business contract template,61,1,bellas and wachowski,56,1,wachowski attorney,56,1,wachowski lawyer,56,1,,,,,,,,,
Big Auto Accident Attorneys,bigauto.com,3373,32,74,66,25,53,415,43,29,69,5,457,1,auto accident attorneys,346,3,big auto accident attorneys,256,1,car accident law firm,189,3,phoenix car accident attorney,155,1,phoenix arizona auto accident lawyer,132,1,,2025-05-14T20:44:15.478Z,Jonathan Hernandez,,,,,,
Blaszkow Legal,alexandriainjuryattorney.com,2639,39,328,37,15,74,197,73,38,84,4.9,351,1,blaszkow legal,136,1,general distirc tour,98,1,blaszkow legal pllc,72,1,accident attorney virginia,59,1,blaszkow legal. pllc,56,1,"I’m writing this on behalf of my husband, who had an extremely disappointing experience with Blaszkow Legal. We chose this firm only because Wilber Hernandez recommended them, but that turned out to be a huge mistake. From the beginning, they were completely disorganized — calling him multiple times with the same intake questions and never providing any real updates. After months of this, he stopped answering their calls out of pure frustration. It felt like they weren’t even keeping track of his case.
 
 They also asked him to locate medical records from years ago, even though he had already signed paperwork authorizing them to retrieve those records themselves. My husband works full-time — we hired an attorney to handle the case, not to place the burden back on us. It was incredibly unprofessional and exhausting.
 
 To make matters worse, they claimed the other party had a letter stating that my husband was not injured, which is simply not true. There was no such letter, and that kind of misinformation is unacceptable coming from a legal team.
 
 After seven months of no progress, they finally called just to say they were dropping the case. No explanation, no accountability — just done. I had even left a positive review early on, trusting in the process, but now I deeply regret it.
 
 My husband has worked with attorneys before, and this was by far the most disorganized and disappointing experience. I would not recommend Blaszkow Legal to anyone looking for real support or competent representation.",2025-05-16T19:56:30.772Z,Kimberly Lara,,,,,,
Brent Adams & Associates,brentadams.com,1924,47,203,49,12,79,566,33,88,96,4.9,2465,3,brent adams and associates,384,1,brent and adams associates,312,1,brent adams,178,1,brent and adams,168,1,raleigh personal injury lawyer,132,1,Dropped me (100% permanent and total disabled veteran) without any justification and haphazardly submitted my documents. Their egregious practice caused the dismissal of my SSDI case which I have been unlawfully denied since 2014.,2025-07-30T01:07:58.948Z,Phillip Gregor,,2025-06-17T20:28:46.823Z,Talecia G,"The Paralegal on my Case is Cool. Never laid eyes on him or my Attorney.I’ve been waiting on my Settlement check for Unusually Long time.I was informed of the Check being cut/mailed out/ but NOT received & I keep getting different answers daily about it. Somebody playing games! I will never use or refer Anyone to this Firm!! 5/2/25 And I STILL HAVE NOT received my Check!! The Industrial Commission check & Attorney Fee Checks were issued on 4/17…. But Not My Check⁉️That sounds Shady! I was told, NOW, the check was cancelled & reissued. Like I said,“ I WILL NEVER USE OR REFER THIS LAW FIRM TO ANYONE!” And I’m Standing On It!5/10/25 STILL NO SETTLEMENT CHECK!!!! I Have Been CONSISTENTLY being LIED TO ( I got Receipt's) By my Legal team about When the Check supposed to be delivered TODAY!!!!!!( LIES, ALL LIES) When I asked The Attorney about the 10% late Fee, I got a BS song & dance!!!This Is A F’ing Nightmare!!! At THIS point,This Law Firm is Pure TRASH!!!!!!5/12/25 FINALLY!!!!!!….. received my check TODAY & IT WAS NOT THE AMOUNT I AGREED Too! So Overall, I’m Still standing on what I said, “ T R A S H!!!!!!",2025-05-13T14:27:48.394Z,Dedria Chavis
Bryan Green Law,bryangreenlaw.com,1,107,0,110,2.1,105,15,115,53,67,N/A,N/A,0,brian green attorney,0,44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Burnes Libman Law Group,burneslibman.com,1370,54,61,73,4.3,93,96,92,59,84,4.1,9,1,what is a commercial vehicle,243,6,what are commercial vehicles,9,1,define commercial motor vehicle,8,1,what is commercial vehicle,6,1,slip and fall accident lawyer,5,8,"Lazy lawyers want to settle.They did an awful job representing my mother. Personal injury lawyers are a dime a dozen, and any other firm will fight harder for you.",2025-07-07T00:30:04.654Z,Jonathan Cid,,,,,,
Campa Injury Lawyers,campa.law,0,110,0,110,0.9,110,21,114,74,96,5,6,0,texas comparative negligence,0,54,comparative negligence in texas,0,83,truck accident investigation,0,72,comparative negligence texas,0,73,7550 ih 10 west san antonio,0,84,,,,,,,,,
Cattie & Gonzalez,cattielaw.com,74,89,32,79,20,61,98,91,40,67,N/A,N/A,0,cattie and gonzalez,32,1,cattie,17,8,gonzalez rafael,11,4,rafael gonzalez attorney,9,1,rafael gonzalez,7,8,,,,,,,,,
Colombo Law,colombolaw.com,5757,25,453,30,27,42,627,29,59,91,4.9,324,0,colombo law,312,1,colombo law columbus ohio,168,1,columbo lawyer,136,1,columbo law,112,1,colombo law firm,72,1,,,,,,,,,
Costa Ivone,costaivone.com,1403,53,116,59,33,30,808,23,68,96,4.8,1107,5,costa ivone,704,1,costa ivone llc,112,1,costa ivone attorney,56,1,julio costa,34,1,costa ivone personal injury lawyers - chicago,32,1,,2025-06-25T02:26:21.868Z,Shamari Hampton,My case been on goin since 2019 always say they gone call me wen they go to court and never do Tina Sanchez paralegal couldn’t even give me a update on my case and that’s her job to do talking bout my supervisor will reach out,2025-06-24T01:01:25.537Z,Eric Brown,"Gracias por su gran trabajo y a su equipo de abogados, por aver tenido mi casó y pelearlo hasta el final, estamos bien agradecidos con ustedes, los recomiendo a todo el mundo 🌎 muchas gracias Dios los bendiga grandemente",2025-06-05T15:50:46.278Z,Margarita Solis
Cox Cox Filo Camel Wilson & Brown,coxcoxfilo.com,846,63,121,54,10,81,257,63,74,77,4.7,167,0,cox cox filo,112,1,workers compensation insurance,94,2,cox cox filo lake charles,88,1,law firms in lake charles la,59,1,cox law firm lake charles,40,1,,,,,,,,,
DFW Injury Lawyers,dfwinjurylawyers.com,6025,24,252,44,29,39,421,42,57,56,4.9,1153,4,slip and fall lawyer,2714,1,injury attorneys,1484,1,dfw injury lawyers,472,1,injury attorneys in dallas texas,237,1,slip and fall attorney near me,237,2,"I hired this team because of their 5 stars but I have no idea how they have 5 stars. I have had to call to get any information. Almost a month in my insurance still didn’t know I had a lawyer because they “forgot” to send a letter of rep. I still don’t know if they have sent it. I have no idea where my case sits as I haven’t heard from them in probably two weeks. Evelyn is nice but doesn’t give me any information than I already had when I talk to her. I am almost done with my therapy and don’t know if they are going to call or not. I really just want to be done with this but I’m really disappointed I hired them. Hopefully, they finish my case strong because I had all evidence the car accident was the other person’s fault. My injuries seem to have really gotten blown off by the doctors they sent me to. This whole situation has not been accommodating for me and I wasn’t at fault. I should be priority. I know now not to use this lawyer again, lesson learned.",2025-07-23T16:29:38.178Z,Jessica Lowe,"I trusted this law office to help me after my car accident, and instead, they cost me money due to their own bad advice. Their receptionist told me exactly how to handle my rental situation, and I followed those instructions. I have text messages to prove it.
 
 Now that I’ve been charged $78, they’re denying ever telling me what they did. No accountability. No apology. Just blatant lying and backpedaling.
 
 I came to them needing help and ended up with more stress and bills than I started with. I expected better from professionals who are supposed to advocate for their clients, not gaslight and scam them.
 
 If this is how they handle small issues, I hate to imagine what happens with something serious.",2025-07-03T17:49:27.383Z,helen Sherrill,"I have never had an accident where I was injured until last year. I was rear ended at a red light in my tiny Chevy Spark and got whiplash. Every bit of communication from this firm has been initiated by me. I'm not sure I'll ever see a result from this being 8 months now. I worked in insurance on the underwriting side for 8 years and am more familiar with insurance coverage and limits than other people. I've never been looking for some maximum payout! Just compensation for my whiplash injury and I'm not sure I made the right decision now. I'm not positive I've ever spoken with the assigned attorney as well, only paralegal staff. Thank you, Heather Hernandez.
 
 Update 5/14/25- Peter from the firm immediately reached out by phone after my review which I completely appreciate. I look forward to updates.
 
 6/2/25- received another update from Peter. Appreciate the periodic updates. Receiving updates as I had expected now initiated by the firm and not myself.
 
 Thank you.",2025-06-05T16:38:09.826Z,Heather H
